IMAGE_VERSION_1,IMAGE_VERSION_2,IMAGE_VERSION_3,year,season,product_type,section,PATH_VERSION_1,PATH_VERSION_2,PATH_VERSION_3
https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_1_1.jpg?ts=1707751045954,https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_2_1.jpg?ts=1707751045737,https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_3_1_1.jpg?ts=1707751046435,2024,V,0,3,imagenes_descargadas/imagen_0_v1.jpg,imagenes_descargadas/imagen_0_v2.jpg,imagenes_descargadas/imagen_0_v3.jpg
https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_6_1_1.jpg?ts=1710428896326,https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_6_2_1.jpg?ts=1710428896373,https://static.zara.net/photos///2024/V/0/3/p/5536/532/658/2/w/2048/5536532658_3_1_1.jpg?ts=1710428894764,2024,V,0,3,imagenes_descargadas/imagen_1_v1.jpg,imagenes_descargadas/imagen_1_v2.jpg,imagenes_descargadas/imagen_1_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/17/w/2048/2893010818_1_1_1.jpg?ts=1713965800221,https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/17/w/2048/2893010818_2_1_1.jpg?ts=1713965805677,https://static.zara.net/photos///2024/V/0/1/p/2893/010/818/2/w/2048/2893010818_3_1_1.jpg?ts=1708506892071,2024,V,0,3,imagenes_descargadas/imagen_2_v1.jpg,imagenes_descargadas/imagen_2_v2.jpg,imagenes_descargadas/imagen_2_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_1_1.jpg?ts=1710489196217,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_6_2_1.jpg?ts=1710489196510,https://static.zara.net/photos///2024/V/0/2/p/4432/475/922/2/w/2048/4432475922_3_1_1.jpg?ts=1710489197564,2024,V,0,3,imagenes_descargadas/imagen_3_v1.jpg,imagenes_descargadas/imagen_3_v2.jpg,imagenes_descargadas/imagen_3_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_1_1.jpg?ts=1706778286656,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_6_2_1.jpg?ts=1706778287492,https://static.zara.net/photos///2024/V/0/2/p/0722/407/802/2/w/2048/0722407802_3_1_1.jpg?ts=1706778286615,2024,V,0,2,imagenes_descargadas/imagen_4_v1.jpg,imagenes_descargadas/imagen_4_v2.jpg,imagenes_descargadas/imagen_4_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_1_1.jpg?ts=1708614924346,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_6_2_1.jpg?ts=1708614924551,https://static.zara.net/photos///2024/V/0/2/p/9621/451/406/2/w/2048/9621451406_3_1_1.jpg?ts=1708614926555,2024,V,0,2,imagenes_descargadas/imagen_5_v1.jpg,imagenes_descargadas/imagen_5_v2.jpg,imagenes_descargadas/imagen_5_v3.jpg
https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_1_1.jpg?ts=1697035257419,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_2_1.jpg?ts=1697035256927,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_3_1_1.jpg?ts=1697035257225,2023,I,0,3,imagenes_descargadas/imagen_6_v1.jpg,imagenes_descargadas/imagen_6_v2.jpg,imagenes_descargadas/imagen_6_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_1_1_1.jpg?ts=1706274640339,https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_2_1_1.jpg?ts=1706274640085,https://static.zara.net/photos///2024/V/0/1/p/5536/006/712/2/w/2048/5536006712_3_1_1.jpg?ts=1706197134291,2024,V,0,1,imagenes_descargadas/imagen_7_v1.jpg,imagenes_descargadas/imagen_7_v2.jpg,imagenes_descargadas/imagen_7_v3.jpg
https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_6_1_1.jpg?ts=1712070309964,https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_6_2_1.jpg?ts=1712070310260,https://static.zara.net/photos///2024/V/0/3/p/3153/002/630/2/w/2048/3153002630_3_1_1.jpg?ts=1712070309147,2024,V,0,3,imagenes_descargadas/imagen_8_v1.jpg,imagenes_descargadas/imagen_8_v2.jpg,imagenes_descargadas/imagen_8_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/17/w/2048/2910009051_1_1_1.jpg?ts=1710424540258,https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/17/w/2048/2910009051_2_2_1.jpg?ts=1710424540535,https://static.zara.net/photos///2024/V/0/1/p/2910/009/051/2/w/2048/2910009051_3_1_1.jpg?ts=1709899261786,2024,V,0,1,imagenes_descargadas/imagen_9_v1.jpg,imagenes_descargadas/imagen_9_v2.jpg,imagenes_descargadas/imagen_9_v3.jpg
https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_6_1_1.jpg?ts=1689164071469,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_6_2_1.jpg?ts=1689164071456,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_3_1_1.jpg?ts=1683629514201,2023,I,1,3,imagenes_descargadas/imagen_10_v1.jpg,imagenes_descargadas/imagen_10_v2.jpg,imagenes_descargadas/imagen_10_v3.jpg
https://static.zara.net/photos///2024/V/1/3/p/6687/330/002/2/w/2048/6687330002_6_1_1.jpg?ts=1713279944500,https://static.zara.net/photos///2024/V/1/3/p/6687/330/002/2/w/2048/6687330002_6_2_1.jpg?ts=1713279944295,https://static.zara.net/photos///2024/V/1/3/p/6687/330/002/2/w/2048/6687330002_3_1_1.jpg?ts=1713279944205,2024,V,1,3,imagenes_descargadas/imagen_11_v1.jpg,imagenes_descargadas/imagen_11_v2.jpg,imagenes_descargadas/imagen_11_v3.jpg
https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_6_1_1.jpg?ts=1698929412065,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_6_2_1.jpg?ts=1698929412326,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_3_1_1.jpg?ts=1698929407195,2023,I,0,3,imagenes_descargadas/imagen_12_v1.jpg,imagenes_descargadas/imagen_12_v2.jpg,imagenes_descargadas/imagen_12_v3.jpg
https://static.zara.net/photos///2024/V/0/3/p/1377/465/628/2/w/2048/1377465628_6_1_1.jpg?ts=1710348720219,https://static.zara.net/photos///2024/V/0/3/p/1377/465/628/2/w/2048/1377465628_6_2_1.jpg?ts=1710348720590,https://static.zara.net/photos///2024/V/0/3/p/1377/465/628/2/w/2048/1377465628_3_1_1.jpg?ts=1710348720190,2024,V,0,3,imagenes_descargadas/imagen_13_v1.jpg,imagenes_descargadas/imagen_13_v2.jpg,imagenes_descargadas/imagen_13_v3.jpg
https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_6_1_1.jpg?ts=1681309241076,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_6_2_1.jpg?ts=1681309242636,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_3_1_1.jpg?ts=1679991575232,2023,V,0,3,imagenes_descargadas/imagen_14_v1.jpg,imagenes_descargadas/imagen_14_v2.jpg,imagenes_descargadas/imagen_14_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/2287/595/800/3/w/2048/2287595800_1_1_1.jpg?ts=1711529251643,https://static.zara.net/photos///2024/V/0/1/p/2287/595/800/3/w/2048/2287595800_2_1_1.jpg?ts=1711529252148,https://static.zara.net/photos///2024/V/0/1/p/2287/595/800/2/w/2048/2287595800_3_1_1.jpg?ts=1706539767884,2024,V,0,1,imagenes_descargadas/imagen_15_v1.jpg,imagenes_descargadas/imagen_15_v2.jpg,imagenes_descargadas/imagen_15_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/202/w/2400/1501401250_6_1_1.jpg?ts=1701183997273,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/202/w/2400/1501401250_6_2_1.jpg?ts=1701183997241,https://static.zara.net/photos///2024/V/0/2/p/1501/401/250/2/w/2400/1501401250_3_1_1.jpg?ts=1701183927096,2024,V,0,2,imagenes_descargadas/imagen_16_v1.jpg,imagenes_descargadas/imagen_16_v2.jpg,imagenes_descargadas/imagen_16_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/4661/315/600/2/w/2048/4661315600_1_1_1.jpg?ts=1711034041649,https://static.zara.net/photos///2024/V/0/1/p/4661/315/600/2/w/2048/4661315600_2_1_1.jpg?ts=1711034041177,https://static.zara.net/photos///2024/V/0/1/p/4661/315/600/2/w/2048/4661315600_3_1_1.jpg?ts=1711114191096,2024,V,0,1,imagenes_descargadas/imagen_17_v1.jpg,imagenes_descargadas/imagen_17_v2.jpg,imagenes_descargadas/imagen_17_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_6_1_1.jpg?ts=1714473878015,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_6_2_1.jpg?ts=1714473877883,https://static.zara.net/photos///2024/V/0/2/p/0679/416/251/2/w/2048/0679416251_3_1_1.jpg?ts=1714473877592,2024,V,0,2,imagenes_descargadas/imagen_18_v1.jpg,imagenes_descargadas/imagen_18_v2.jpg,imagenes_descargadas/imagen_18_v3.jpg
https://static.zara.net/photos///2024/V/0/3/p/2582/506/712/2/w/2048/2582506712_6_1_1.jpg?ts=1700479517929,https://static.zara.net/photos///2024/V/0/3/p/2582/506/712/2/w/2048/2582506712_6_2_1.jpg?ts=1700479517938,https://static.zara.net/photos///2024/V/0/3/p/2582/506/712/2/w/2048/2582506712_3_1_1.jpg?ts=1700479517336,2024,V,0,3,imagenes_descargadas/imagen_19_v1.jpg,imagenes_descargadas/imagen_19_v2.jpg,imagenes_descargadas/imagen_19_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/1736/013/700/18/w/2048/1736013700_2_1_1.jpg?ts=1709831847782,https://static.zara.net/photos///2024/V/0/1/p/1736/013/700/2/w/2048/1736013700_6_1_1.jpg?ts=1709054616288,https://static.zara.net/photos///2024/V/0/1/p/1736/013/700/2/w/2048/1736013700_3_1_1.jpg?ts=1709054615737,2024,V,0,1,imagenes_descargadas/imagen_20_v1.jpg,imagenes_descargadas/imagen_20_v2.jpg,imagenes_descargadas/imagen_20_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/4786/055/802/2/w/2048/4786055802_1_1_1.jpg?ts=1712923262030,https://static.zara.net/photos///2024/V/0/1/p/4786/055/802/2/w/2048/4786055802_2_1_1.jpg?ts=1712923262108,https://static.zara.net/photos///2024/V/0/1/p/4786/055/802/2/w/2048/4786055802_3_1_1.jpg?ts=1712743908341,2024,V,0,1,imagenes_descargadas/imagen_21_v1.jpg,imagenes_descargadas/imagen_21_v2.jpg,imagenes_descargadas/imagen_21_v3.jpg
https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_6_1_1.jpg?ts=1706805340381,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_6_2_1.jpg?ts=1706805340401,https://static.zara.net/photos///2024/V/0/2/p/4285/498/401/2/w/2048/4285498401_3_1_1.jpg?ts=1706805340629,2024,V,0,2,imagenes_descargadas/imagen_22_v1.jpg,imagenes_descargadas/imagen_22_v2.jpg,imagenes_descargadas/imagen_22_v3.jpg
https://static.zara.net/photos///2024/V/0/3/p/1716/327/621/2/w/2048/1716327621_6_1_1.jpg?ts=1711555021631,https://static.zara.net/photos///2024/V/0/3/p/1716/327/621/2/w/2048/1716327621_6_2_1.jpg?ts=1711555021509,https://static.zara.net/photos///2024/V/0/3/p/1716/327/621/2/w/2048/1716327621_3_1_1.jpg?ts=1711555021104,2024,V,0,3,imagenes_descargadas/imagen_23_v1.jpg,imagenes_descargadas/imagen_23_v2.jpg,imagenes_descargadas/imagen_23_v3.jpg
https://static.zara.net/photos///2024/V/0/1/p/4661/005/800/2/w/2048/4661005800_1_1_1.jpg?ts=1706628794635,https://static.zara.net/photos///2024/V/0/1/p/4661/005/800/2/w/2048/4661005800_2_1_1.jpg?ts=1706628794678,https://static.zara.net/photos///2024/V/0/1/p/4661/005/800/2/w/2048/4661005800_3_1_1.jpg?ts=1706632178761,2024,V,0,1,imagenes_descargadas/imagen_24_v1.jpg,imagenes_descargadas/imagen_24_v2.jpg,imagenes_descargadas/imagen_24_v3.jpg
